	statename	activity_level	activity_level_label	Latitude	Longitude	year	month	day	mean_prcp	mean_tmax	mean_tmin
136	Arkansas	1	Minimal	34.969704	-92.37312299999999	2010	12	18	2.0	9.64516129032258	-2.0
137	Arkansas	1	Minimal	34.969704	-92.37312299999999	2010	12	11	2.0	9.64516129032258	-2.0
138	Arkansas	1	Minimal	34.969704	-92.37312299999999	2010	12	4	2.0	9.64516129032258	-2.0
139	Arkansas	2	Minimal	34.969704	-92.37312299999999	2010	12	25	2.0	9.64516129032258	-2.0
140	Arkansas	9	High	34.969704	-92.37312299999999	2015	1	3	2.6451612903225805	9.935483870967742	-2.6451612903225805
141	Arkansas	10	High	34.969704	-92.37312299999999	2015	1	10	2.6451612903225805	9.935483870967742	-2.6451612903225805
142	Arkansas	10	High	34.969704	-92.37312299999999	2015	1	17	2.6451612903225805	9.935483870967742	-2.6451612903225805
143	Arkansas	10	High	34.969704	-92.37312299999999	2015	1	24	2.6451612903225805	9.935483870967742	-2.6451612903225805
144	Arkansas	10	High	34.969704	-92.37312299999999	2015	1	31	2.6451612903225805	9.935483870967742	-2.6451612903225805
145	Arkansas	6	Moderate	34.969704	-92.37312299999999	2015	2	28	2.857142857142857	7.821428571428571	-4.017857142857143
146	Arkansas	10	High	34.969704	-92.37312299999999	2015	2	7	2.857142857142857	7.821428571428571	-4.017857142857143
